transaction_id,customer_id,product_id,product_category,amount,date
1,69,595,toys and hobbies,8189.94,9-9-2024
2,35,93198,media,4091.89,18-9-2024
3,28,75443,fashion and apparel,8896.82,14-1-2024
4,71,33837,shoes,6834.43,26-12-2024
5,79,4589,digital services,7083.27,22-9-2024
6,8,10738,digital services,7592.44,6-12-2024
7,21,37256,health and wellness,9952.24,1-10-2024
8,65,95443,furniture and decor,497.43,3-5-2024
9,33,35257,electronics,4584.03,26-2-2024
10,56,41656,fashion and apparel,4611.85,25-12-2024
11,5,97338,media,8748.43,22-3-2024
12,16,39189,furniture and decor,8470.21,4-9-2024
13,54,85141,drink,7381.15,28-2-2024
14,59,92796,health and wellness,960.56,13-4-2024
15,32,82313,pet products,9960.6,21-12-2024
16,78,47194,pet products,1547.75,2-5-2024
17,53,72394,electronics,4049.86,8-6-2024
18,8,22589,drink,5065.55,4-6-2024
19,36,65666,food and beverage,6664.01,4-11-2024
20,74,80948,media,2048.63,3-12-2024
21,48,71398,media,2339.69,5-5-2024
22,40,53997,drink,8254.41,5-6-2024
23,88,74329,digital services,4003.95,18-11-2024
24,41,15285,food and beverage,8637.51,4-3-2024
25,74,20516,electronics,8755.21,15-3-2024
26,69,90385,office equipment,5457.59,23-8-2024
27,94,49031,media,9360.47,26-2-2024
28,79,50758,furniture and decor,1391.76,5-3-2024
29,67,39204,pet products,4263.72,17-3-2024
30,2,32384,health and wellness,528.53,18-12-2024
31,66,80324,pet products,826.1,25-11-2024
32,38,64498,shoes,7762.83,15-9-2024
33,74,40408,electronics,553.13,9-5-2024
34,73,36678,food and beverage,1940.61,19-4-2024
35,58,16339,office equipment,4601.69,26-1-2024
36,75,72394,electronics,4049.86,21-2-2024
37,70,49444,shoes,6916.38,21-5-2024
38,80,95258,drink,3530.21,9-1-2024
39,87,84696,office equipment,4158.52,1-11-2024
40,15,72206,drink,5508.81,7-6-2024
41,6,58333,shoes,5371.37,27-4-2024
42,59,27727,food and beverage,4025.54,20-7-2024
43,61,23096,office equipment,7908.94,22-8-2024
44,27,78445,food and beverage,7417.4,27-3-2024
45,6,28830,food and beverage,3311.42,19-11-2024
46,75,43495,digital services,5775.65,19-3-2024
47,76,73847,media,3636.56,6-3-2024
48,11,34050,drink,7027.32,19-2-2024
49,63,17556,electronics,8798.52,20-2-2024
50,61,99447,electronics,4646.63,1-3-2024
51,63,8309,health and wellness,3120.58,28-3-2024
52,47,37472,electronics,6722.44,27-12-2024
53,52,16972,furniture and decor,6957.59,5-10-2024
54,55,4123,electronics,3238.48,20-5-2024
55,66,60734,electronics,4084.19,14-10-2024
56,46,84609,toys and hobbies,4970.09,17-12-2024
57,23,9950,fashion and apparel,5556.96,17-12-2024
58,13,55461,fashion and apparel,8690.08,8-5-2024
59,38,83824,media,7023.17,4-9-2024
60,3,37791,pet products,2203.56,13-12-2024
61,41,68213,shoes,7987.94,28-4-2024
62,23,49031,media,9360.47,28-12-2024
63,68,19684,furniture and decor,5774.45,3-10-2024
64,28,25473,office equipment,3126.43,8-11-2024
65,13,20058,toys and hobbies,5742.48,18-12-2024
66,72,53140,food and beverage,3178.48,4-9-2024
67,83,10738,digital services,7592.44,25-9-2024
68,86,84150,fashion and apparel,4273.32,13-9-2024
69,73,56302,shoes,8804.39,25-11-2024
70,25,28309,toys and hobbies,4631.34,21-8-2024
71,100,60646,pet products,4814.72,18-5-2024
72,13,89940,office equipment,7289.57,23-7-2024
73,14,66215,media,9080.55,8-7-2024
74,5,14020,cosmetics and bodycare,3510.76,9-2-2024
75,73,3448,furniture and decor,294.77,14-9-2024
76,35,23736,shoes,5325.57,4-11-2024
77,43,44661,food and beverage,9231.64,19-5-2024
78,90,18960,food and beverage,5288.6,16-2-2024
79,88,33002,media,6515.46,27-6-2024
80,49,75246,electronics,3452.35,21-10-2024
81,27,46105,media,3855.88,14-10-2024
82,40,38984,health and wellness,6171.45,16-9-2024
83,42,89258,cosmetics and bodycare,1380.14,26-5-2024
84,2,48848,food and beverage,2231.09,6-2-2024
85,35,85141,drink,7381.15,14-3-2024
86,80,99416,electronics,6927.4,27-11-2024
87,90,88481,drink,9473.45,3-1-2024
88,81,46792,electronics,4799.09,13-8-2024
89,77,96559,shoes,8883.44,26-10-2024
90,40,8309,furniture and decor,2619.49,10-8-2024
91,94,37549,shoes,1989.48,1-2-2024
92,45,97861,shoes,2797.17,18-10-2024
93,47,59625,furniture and decor,3030.42,24-1-2024
94,91,29372,digital services,3954.46,22-12-2024
95,13,34110,pet products,7382.72,11-11-2024
96,19,95343,media,8391.96,8-5-2024
97,27,40408,electronics,553.13,18-12-2024
98,40,44700,cosmetics and bodycare,2728.03,20-6-2024
99,74,16874,fashion and apparel,8667.24,18-10-2024
100,56,28830,food and beverage,3311.42,28-1-2024
101,8,67186,digital services,5607.71,16-3-2024
102,90,71398,media,2339.69,18-6-2024
103,8,57612,health and wellness,3467.71,19-2-2024
104,58,73739,drink,7717.42,13-1-2024
105,50,33424,drink,9162.99,13-9-2024
106,3,88530,office equipment,1298.99,6-11-2024
107,95,76251,pet products,767.19,20-12-2024
108,84,95655,shoes,4489.04,8-5-2024
109,23,78714,furniture and decor,2765.92,25-3-2024
110,37,79778,office equipment,1891.98,25-4-2024
111,17,78450,toys and hobbies,2738.33,17-10-2024
112,72,19669,cosmetics and bodycare,5426.34,11-7-2024
113,30,17237,electronics,6672.22,28-12-2024
114,63,82895,toys and hobbies,1288.34,10-8-2024
115,22,31738,cosmetics and bodycare,3454.98,20-6-2024
116,43,13248,media,8157.16,9-11-2024
117,68,89763,furniture and decor,7963.78,6-2-2024
118,54,91111,furniture and decor,4931.28,14-8-2024
119,17,99429,digital services,4333.55,22-1-2024
120,3,6198,cosmetics and bodycare,5946.43,16-8-2024
121,20,9478,drink,687.87,17-5-2024
122,10,55620,fashion and apparel,1025.3,12-6-2024
123,95,62050,office equipment,9158.47,11-10-2024
124,28,35962,pet products,5226.62,14-4-2024
125,27,63431,toys and hobbies,3619.02,25-5-2024
126,29,74844,fashion and apparel,5242.05,18-7-2024
127,3,44561,pet products,5281.54,22-1-2024
128,52,19889,cosmetics and bodycare,8794.96,6-8-2024
129,42,45880,fashion and apparel,5247.06,28-8-2024
130,74,73739,drink,7717.42,8-4-2024
131,58,31899,digital services,5762.71,20-2-2024
132,38,25490,digital services,9047.12,3-1-2024
